Sentence: #,Word,POS,tag
Sentence: 1,@,Misc,O
Sentence: 1,Banco_Falabella,,O
Sentence: 1,no,RN,O
Sentence: 1,nos,PP,O
Sentence: 1,interesan,VMI,O
Sentence: 1,los,DA,O
Sentence: 1,doble,AQ,O
Sentence: 1,puntos,NC,O
Sentence: 1,...,Punc,O
Sentence: 1,nos,PP,O
Sentence: 1,interesan,VMI,O
Sentence: 1,las,DA,O
Sentence: 1,compras,NC,O
Sentence: 1,en,SP,O
Sentence: 1,X,NC,O
Sentence: 1,cuotas,NC,O
Sentence: 1,precio,NC,O
Sentence: 1,contado,VMP,O
Sentence: 1,...,Punc,O
Sentence: 2,@,Misc,O
Sentence: 2,Banco_Falabella,,O
Sentence: 2,pagando,VMG,O
Sentence: 2,con,SP,O
Sentence: 2,CMR,,O
Sentence: 2,",",Fc,O
Sentence: 2,el,DA,O
Sentence: 2,descuento,NC,O
Sentence: 2,tambien,,O
Sentence: 2,corre,VMI,O
Sentence: 2,",",Fc,O
Sentence: 2,no,RN,O
Sentence: 2,?,Punc,O
Sentence: 2,?,Punc,O
Sentence: 3,@,Misc,O
Sentence: 3,Banco_Falabella,,O
Sentence: 3,20,Z,O
Sentence: 3,10,Num,O
Sentence: 3,11,Num,O
Sentence: 3,quedaria,,O
Sentence: 3,listo-hoy,,O
Sentence: 3,vuelven,VMI,O
Sentence: 3,amentir,,O
Sentence: 3,?,Punc,O
Sentence: 3,HSTA,,O
Sentence: 3,CUANDO,,O
Sentence: 3,AIRE,,O
Sentence: 3,NO,RN,O
Sentence: 3,FUNCIONAX,,O
Sentence: 3,TANTO,,O
Sentence: 3,CALOR,,O
Sentence: 3,IMAGEN,,O
Sentence: 3,CORPORATIVA,,O
Sentence: 3,EN,SP,O
Sentence: 3,EL,DA,O
Sentence: 3,PISO,,O
Sentence: 4,@,Misc,O
Sentence: 4,Banco_Falabella,,O
Sentence: 4,Existe,,O
Sentence: 4,una,DI,O
Sentence: 4,Aplicacíon,,O
Sentence: 4,del,SP,O
Sentence: 4,Banco,NC,O
Sentence: 4,Falabella,,O
Sentence: 4,para,SP,O
Sentence: 4,iPhone,,O
Sentence: 4,",",Fc,O
Sentence: 4,¿,Fia,O
Sentence: 4,Es,VSI,O
Sentence: 4,esta,DD,O
Sentence: 4,Oficial,AQ,O
Sentence: 4,?,Punc,O
Sentence: 4,¿,Fia,O
Sentence: 4,Es,VSI,O
Sentence: 4,confiable,AQ,O
Sentence: 4,?,Punc,O
Sentence: 5,RT,,O
Sentence: 5,@,Misc,O
Sentence: 5,Banco_Falabella,,O
Sentence: 5,:,Punc,O
Sentence: 5,RT,,O
Sentence: 5,esta,DD,O
Sentence: 5,noticia,NC,O
